City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san luis de la loma,17.2706,-100.8939,83.8,69,97,6.31,MX,1731519942
1,burao,9.5221,45.5336,68.29,43,0,8.9,SO,1731520121
2,malango,-2.9627,119.9001,64.94,97,34,2.86,ID,1731520122
3,adamstown,-25.066,-130.1015,71.26,78,100,8.68,PN,1731519841
4,udachny,66.4167,112.4,-19.88,99,63,5.91,RU,1731520124
5,bethel,41.3712,-73.414,47.73,39,0,10.36,US,1731519943
6,bac lieu,9.285,105.7244,79.3,83,11,6.17,VN,1731519943
7,blackmans bay,-43.0167,147.3167,48.33,78,99,1.99,AU,1731520127
8,sal rei,16.1833,-22.9167,82.6,65,75,16.11,CV,1731520128
9,bredasdorp,-34.5322,20.0403,61.16,66,45,12.82,ZA,1731519943
10,saint-pierre,-21.3393,55.4781,76.68,73,40,1.14,RE,1731520132
11,atafu village,-8.5421,-172.5159,83.43,76,8,14.5,TK,1731520133
12,waitangi,-43.9535,-176.5597,51.82,74,0,1.99,NZ,1731520134
13,sydney,-33.8679,151.2073,65.34,88,75,9.22,AU,1731520028
14,kingscliff,-28.2667,153.5667,67.8,94,43,3.44,AU,1731520136
15,port-aux-francais,-49.35,70.2167,39.09,86,100,27.51,TF,1731520137
16,salinas,36.6777,-121.6555,57.83,77,0,0.0,US,1731519944
17,al kharijah,25.4514,30.5464,67.42,45,54,8.32,EG,1731520140
18,iqaluit,63.7506,-68.5145,13.73,66,75,3.44,CA,1731520141
19,mount pearl,47.5166,-52.7813,40.14,95,100,25.32,CA,1731520001
20,ta`u,-14.2336,-169.5144,80.26,82,84,22.88,AS,1731520143
21,boyolangu,-8.1181,111.8935,77.05,93,91,2.28,ID,1731520144
22,san antonio de pale,-1.4014,5.6325,77.29,88,100,12.17,GQ,1731520145
23,arkhangel'sk,64.5401,40.5433,33.91,86,75,11.18,RU,1731520146
24,vilyuchinsk,52.9306,158.4028,8.87,84,8,10.27,RU,1731520336
25,invercargill,-46.4,168.35,45.01,97,90,1.99,NZ,1731520336
26,nantucket,41.2835,-70.0995,42.91,56,100,21.85,US,1731520207
27,crane,31.3974,-102.3501,68.79,16,0,17.38,US,1731520337
28,tidjikja,18.5564,-11.4271,83.53,12,0,4.83,MR,1731520337
29,stanley,54.868,-1.6985,49.53,92,75,8.05,GB,1731520337
30,constantia,44.1833,28.65,43.7,77,100,9.78,RO,1731520337
31,berezovyy,51.6667,135.7,19.51,56,96,4.85,RU,1731520337
32,porto novo,6.4965,2.6036,85.82,85,95,6.35,BJ,1731520134
33,whitehorse,60.7161,-135.0538,21.97,85,100,4.61,CA,1731520337
34,puerto ayora,-0.7393,-90.3518,74.55,81,37,8.01,EC,1731520337
35,sitka,57.0531,-135.33,37.29,87,40,0.0,US,1731520337
36,mahajanga,-15.7167,46.3167,82.42,78,20,9.22,MG,1731520338
37,yuzhno-kurilsk,44.0306,145.8556,36.46,67,43,10.89,RU,1731520338
38,nuuk,64.1835,-51.7216,27.21,74,20,17.27,GL,1731520256
39,viedma,-40.8135,-62.9967,80.08,23,54,14.72,AR,1731520269
40,rabaul,-4.1967,152.1721,78.03,89,100,19.01,PG,1731520339
41,simeonovgrad,42.0333,25.8333,48.51,86,100,4.14,BG,1731520339
42,edinburgh of the seven seas,-37.0676,-12.3116,61.38,90,20,23.2,SH,1731520339
43,margaret river,-33.95,115.0667,55.08,95,69,9.86,AU,1731520339
44,hermanus,-34.4187,19.2345,61.81,70,1,18.28,ZA,1731520340
45,trairi,-3.2778,-39.2689,85.08,57,67,14.2,BR,1731520254
46,khorinsk,52.1657,109.7726,0.18,95,7,1.83,RU,1731520340
47,petropavlovsk-kamchatsky,53.0452,158.6483,7.39,66,0,11.18,RU,1731520340
48,tyukhtet,56.5389,89.3011,13.35,80,98,7.14,RU,1731520340
49,nar'yan-mar,67.6713,53.087,30.16,98,100,10.09,RU,1731520340
50,broome,42.2506,-75.833,46.62,48,0,5.75,US,1731520341
51,zhanaozen,43.3,52.8,36.18,39,3,9.35,KZ,1731520341
52,isafjordur,66.0755,-23.124,44.64,53,40,10.36,IS,1731520341
53,kendari,-3.945,122.4989,75.18,95,15,1.63,ID,1731520341
54,manokwari,-0.8667,134.0833,78.44,81,67,3.24,ID,1731520341
55,talnakh,69.4865,88.3972,-9.15,99,100,3.33,RU,1731520342
